Epoch,AvgLoss,AvgBCELoss,Precision,Recall,F1_Score,IoU,Dice,ValLoss,ValBCELoss,ValPrecision,ValRecall,ValF1_Score,ValIoU,ValDice
12,4.07579599763896,1.1243901369539466,0.35997280506133733,0.19337422010003433,0.2515942338920436,0.14389922452160842,0.2515942338920436,4.222873004707131,1.1561556377926387,0.2261978139606824,0.11912377797106301,0.15606054644344458,0.08463431168655672,0.15606054644344458
13,4.106106629242769,1.1302308258978095,0.33456911566917413,0.18028683445465454,0.234311778880216,0.1327028045368154,0.234311778880216,4.19946957278896,1.1584409974716805,0.2464603212516286,0.16329760382406672,0.19643978766569883,0.10891778734209927,0.19643978766569883
14,4.0626041228706775,1.1254512953597147,0.34861527014163934,0.19752160543510275,0.2521677290692056,0.14427455841338577,0.2521677290692056,4.2017517669780835,1.212121158032804,0.20702186180824886,0.24388480150077294,0.22394650503900726,0.12609220706154786,0.22394650503900726
15,4.0505988460940285,1.1113328243026863,0.3690217404093933,0.20908628306998628,0.26693068056672664,0.15402192951751922,0.26693068056672664,4.193305228207563,1.1718849958600224,0.2464303380048986,0.14675436742132442,0.18395796107140597,0.10129609179087902,0.18395796107140597
16,4.07053381687886,1.1228718421346433,0.36245751980663443,0.20144740899631455,0.2589660934203049,0.14874270537846693,0.2589660934203049,4.120288636233355,1.1388818831057161,0.2906614980958834,0.14742205757150842,0.19562439882426735,0.10841667261339509,0.19562439882426735
17,4.0325937794672475,1.114221197125074,0.3667487001936233,0.21232418916586085,0.2689458333384493,0.1553653481896113,0.2689458333384493,4.103549912169173,1.1194136303824347,0.3263646946112047,0.18298637704160323,0.23449560189364058,0.13282074071588568,0.23449560189364058
18,4.00902683348269,1.1062752928685498,0.3628390496261625,0.21568464404366597,0.27054660723515633,0.1564347489021596,0.27054660723515633,4.168239541955896,1.1895872950553894,0.22623553371022526,0.2774414298272349,0.24923557952488154,0.14235814745266787,0.24923557952488154
19,4.025897417519544,1.112879962735885,0.3715351029582024,0.21283450605204055,0.2706351901257671,0.15649398471653236,0.2706351901257671,4.040706570084031,1.1374725908846468,0.2688065513515053,0.20748760210285344,0.23419992189683514,0.1326310519526165,0.23419992189683514
20,3.9745601560618424,1.0951068614785735,0.38501323218429623,0.23748862999431455,0.2937702538627808,0.17217508634335754,0.2937702538627808,4.132811372344558,1.1336074745332874,0.28723330093777044,0.16182822342435385,0.20702042939484638,0.11546167775072547,0.20702042939484638
21,3.9264833862717086,1.0812914901085802,0.39822532097637237,0.24066992849260102,0.3000205733349459,0.1764848260096378,0.3000205733349459,4.141553221522151,1.1405860620575983,0.25975749130531156,0.20715491220103166,0.2304930856444232,0.1302583695912625,0.2304930856444232
22,3.9388316160923726,1.0825281129092783,0.3895093525627827,0.250181095826114,0.30467197659151196,0.17971270007025741,0.30467197659151196,4.0718040595183504,1.134532657829491,0.31459648505366467,0.0991311941834601,0.1507577414534906,0.08152406249464852,0.1507577414534906
23,3.9595492772153906,1.0943865817342255,0.3876884689061069,0.22336654958873764,0.28343318684528235,0.16511631511993813,0.28343318684528235,4.080254271223739,1.159958602608861,0.2494709593204005,0.2878876617097849,0.26730607208111196,0.15427195061632676,0.26730607208111196
24,3.9956108573320748,1.1047816324878383,0.3710293994684154,0.2199919125076824,0.2762115867284841,0.1602352032313943,0.2762115867284841,4.109396013053688,1.1560959042729557,0.2520257571555875,0.21733429905816212,0.233397966234567,0.13211688981082498,0.233397966234567
